YEAR,EXAM,BIL,NAMA,NOKP,KELAS,TINGKATAN,JANTINA,BM,BMG,BI,BIG,MM,MMG,SEJ,SEJG,PI,PIG,SN,SNG,GEO,GEOG,RBT,RBTG,ASK,ASKG,BJ,BJG,BA,BAG,PSV,PSVG,MT,MTG,PHY,PHYG,CHE,CHEG,BIO,BIOG,SK,SKG,GKT,GKTG,ACC,ACCG,PN,PNG,EKO,EKOG,TAS,TASG,JUMLAH_MARKAH,JUMLAH_GRED
2023,PPT,11,NUR STUDENT 1011,2301016261,T1 ALPHA,T1,Perempuan,68,C,69,C,69,C,64,C,87,A,65,C,61,C,,,66,C,63,C,,,67,C,,,,,,,,,,,,,,,,,,,,,679,10 SUBJ
2023,PPT,12,MUHAMMAD STUDENT 1012,2301016241,T1 ALPHA,T1,Lelaki,64,C,100,A,73,B,71,B,83,B,76,B,47,E,,,76,B,63,C,,,83,B,,,,,,,,,,,,,,,,,,,,,736,10 SUBJ
2023,PPT,13,NUR STUDENT 1013,2301015844,T1 ALPHA,T1,Perempuan,67,C,78,B,74,B,57,D,62,C,64,C,82,B,,,97,A,83,B,,,63,C,,,,,,,,,,,,,,,,,,,,,727,10 SUBJ
2023,PPT,14,MUHAMMAD STUDENT 1014,2301013629,T1 ALPHA,T1,Lelaki,72,B,53,D,89,A,66,C,83,B,51,D,62,C,,,75,B,96,A,,,99,A,,,,,,,,,,,,,,,,,,,,,746,10 SUBJ
2023,PPT,15,NUR STUDENT 1015,2301019539,T1 ALPHA,T1,Perempuan,65,C,84,B,58,D,83,B,76,B,92,A,73,B,,,65,C,69,C,,,76,B,,,,,,,,,,,,,,,,,,,,,741,10 SUBJ
2023,PPT,16,NUR STUDENT 1016,2301017446,T1 ALPHA,T1,Perempuan,70,B,64,C,78,B,84,B,82,B,59,D,58,D,,,78,B,68,C,,,45,E,,,,,,,,,,,,,,,,,,,,,686,10 SUBJ
2023,PPT,17,MUHAMMAD STUDENT 1017,2301011261,T1 ALPHA,T1,Lelaki,44,E,61,C,86,A,58,D,75,B,63,C,75,B,,,62,C,68,C,,,64,C,,,,,,,,,,,,,,,,,,,,,656,10 SUBJ
2023,PPT,18,NUR STUDENT 1018,2301011627,T1 ALPHA,T1,Perempuan,82,B,100,A,67,C,77,B,91,A,80,B,80,B,,,75,B,52,D,,,67,C,,,,,,,,,,,,,,,,,,,,,771,10 SUBJ
2023,PPT,19,MUHAMMAD STUDENT 1019,2301019014,T1 ALPHA,T1,Lelaki,72,B,75,B,83,B,80,B,52,D,70,B,55,D,,,62,C,70,B,,,84,B,,,,,,,,,,,,,,,,,,,,,703,10 SUBJ
2023,PPT,20,MUHAMMAD STUDENT 1020,2301015903,T1 ALPHA,T1,Lelaki,53,D,79,B,70,B,50,D,63,C,85,A,82,B,,,58,D,46,E,,,68,C,,,,,,,,,,,,,,,,,,,,,654,10 SUBJ
2023,PPT,21,MUHAMMAD STUDENT 1021,2301011057,T1 ALPHA,T1,Lelaki,67,C,80,B,59,D,81,B,77,B,80,B,66,C,,,91,A,91,A,,,67,C,,,,,,,,,,,,,,,,,,,,,759,10 SUBJ
2023,PPT,22,MUHAMMAD STUDENT 1022,2301019183,T1 ALPHA,T1,Lelaki,79,B,71,B,86,A,95,A,81,B,63,C,79,B,,,62,C,57,D,,,76,B,,,,,,,,,,,,,,,,,,,,,749,10 SUBJ
2023,PPT,1,NUR STUDENT 1023,2301012762,T1 BETA,T1,Perempuan,64,C,58,D,60,C,82,B,86,A,85,A,63,C,,,78,B,58,D,,,74,B,,,,,,,,,,,,,,,,,,,,,708,10 SUBJ
2023,PPT,2,MUHAMMAD STUDENT 1024,2301016545,T1 BETA,T1,Lelaki,70,B,93,A,76,B,79,B,59,D,64,C,56,D,,,70,B,75,B,,,69,C,,,,,,,,,,,,,,,,,,,,,711,10 SUBJ
2023,PPT,3,NUR STUDENT 1025,2301014133,T1 BETA,T1,Perempuan,69,C,86,A,80,B,72,B,62,C,66,C,53,D,,,55,D,71,B,,,76,B,,,,,,,,,,,,,,,,,,,,,690,10 SUBJ
2023,PPT,4,MUHAMMAD STUDENT 1026,2301014870,T1 BETA,T1,Lelaki,66,C,61,C,58,D,67,C,68,C,75,B,64,C,,,59,D,61,C,,,58,D,,,,,,,,,,,,,,,,,,,,,637,10 SUBJ
2023,PPT,5,NUR STUDENT 1027,2301013997,T1 BETA,T1,Perempuan,60,C,59,D,60,C,62,C,47,E,51,D,56,D,,,73,B,84,B,,,60,C,,,,,,,,,,,,,,,,,,,,,612,10 SUBJ
2023,PPT,6,NUR STUDENT 1028,2301014160,T1 BETA,T1,Perempuan,82,B,52,D,79,B,65,C,79,B,80,B,61,C,,,63,C,100,A,,,55,D,,,,,,,,,,,,,,,,,,,,,716,10 SUBJ
2023,PPT,7,MUHAMMAD STUDENT 1029,2301015361,T1 BETA,T1,Lelaki,60,C,85,A,58,D,79,B,77,B,80,B,57,D,,,53,D,66,C,,,69,C,,,,,,,,,,,,,,,,,,,,,684,10 SUBJ
2023,PPT,8,NUR STUDENT 1030,2301014503,T1 BETA,T1,Perempuan,62,C,71,B,59,D,72,B,84,B,50,D,88,A,,,50,D,43,E,,,94,A,,,,,,,,,,,,,,,,,,,,,673,10 SUBJ
2023,PPT,9,MUHAMMAD STUDENT 1031,2301011624,T1 BETA,T1,Lelaki,57,D,68,C,77,B,68,C,77,B,97,A,74,B,,,79,B,64,C,,,53,D,,,,,,,,,,,,,,,,,,,,,714,10 SUBJ
2023,PPT,10,NUR STUDENT 1032,2301017253,T1 BETA,T1,Perempuan,66,C,59,D,42,E,80,B,61,C,61,C,76,B,,,70,B,82,B,,,56,D,,,,,,,,,,,,,,,,,,,,,653,10 SUBJ
2023,PPT,11,MUHAMMAD STUDENT 1033,2301016912,T1 BETA,T1,Lelaki,72,B,57,D,74,B,60,C,63,C,65,C,52,D,,,77,B,65,C,,,54,D,,,,,,,,,,,,,,,,,,,,,639,10 SUBJ
2023,PPT,12,MUHAMMAD STUDENT 1034,2301011876,T1 BETA,T1,Lelaki,76,B,66,C,73,B,89,A,49,E,52,D,86,A,,,78,B,76,B,,,71,B,,,,,,,,,,,,,,,,,,,,,716,10 SUBJ
2023,PPT,13,NUR STUDENT 1035,2301013665,T1 BETA,T1,Perempuan,69,C,78,B,80,B,69,C,65,C,74,B,82,B,,,85,A,73,B,,,83,B,,,,,,,,,,,,,,,,,,,,,758,10 SUBJ
2023,PPT,14,NUR STUDENT 1036,2301014529,T1 BETA,T1,Perempuan,69,C,62,C,67,C,78,B,71,B,67,C,86,A,,,68,C,75,B,,,51,D,,,,,,,,,,,,,,,,,,,,,694,10 SUBJ
2023,PPT,15,NUR STUDENT 1037,2301011987,T1 BETA,T1,Perempuan,80,B,69,C,74,B,63,C,84,B,52,D,57,D,,,93,A,78,B,,,79,B,,,,,,,,,,,,,,,,,,,,,729,10 SUBJ
2023,PPT,16,NUR STUDENT 1038,2301017923,T1 BETA,T1,Perempuan,75,B,80,B,59,D,75,B,59,D,74,B,79,B,,,60,C,73,B,,,59,D,,,,,,,,,,,,,,,,,,,,,693,10 SUBJ
2023,PPT,17,NUR STUDENT 1039,2301018016,T1 BETA,T1,Perempuan,77,B,94,A,76,B,63,C,44,E,81,B,63,C,,,74,B,48,E,,,67,C,,,,,,,,,,,,,,,,,,,,,687,10 SUBJ
2023,PPT,18,NUR STUDENT 1040,2301019119,T1 BETA,T1,Perempuan,91,A,60,C,78,B,70,B,49,E,49,E,70,B,,,76,B,62,C,,,83,B,,,,,,,,,,,,,,,,,,,,,688,10 SUBJ
2023,PPT,19,NUR STUDENT 1041,2301018932,T1 BETA,T1,Perempuan,68,C,81,B,88,A,76,B,84,B,51,D,81,B,,,81,B,47,E,,,70,B,,,,,,,,,,,,,,,,,,,,,727,10 SUBJ
2023,PPT,20,MUHAMMAD STUDENT 1042,2301017609,T1 BETA,T1,Lelaki,78,B,61,C,71,B,47,E,84,B,63,C,60,C,,,69,C,48,E,,,71,B,,,,,,,,,,,,,,,,,,,,,652,10 SUBJ
2023,PPT,21,NUR STUDENT 1043,2301013077,T1 BETA,T1,Perempuan,89,A,61,C,74,B,72,B,72,B,60,C,61,C,,,74,B,71,B,,,89,A,,,,,,,,,,,,,,,,,,,,,723,10 SUBJ
2023,PPT,22,NUR STUDENT 1044,2301019534,T1 BETA,T1,Perempuan,57,D,82,B,58,D,76,B,70,B,62,C,63,C,,,69,C,74,B,,,71,B,,,,,,,,,,,,,,,,,,,,,682,10 SUBJ
2023,PPT,23,MUHAMMAD STUDENT 1045,2301015188,T1 BETA,T1,Lelaki,56,D,50,D,48,E,72,B,76,B,54,D,77,B,,,53,D,91,A,,,70,B,,,,,,,,,,,,,,,,,,,,,647,10 SUBJ
2023,PPT,24,NUR STUDENT 1046,2301017567,T1 BETA,T1,Perempuan,76,B,64,C,67,C,50,D,78,B,53,D,75,B,,,55,D,58,D,,,69,C,,,,,,,,,,,,,,,,,,,,,645,10 SUBJ
2023,PPT,25,NUR STUDENT 1047,2301016197,T1 BETA,T1,Perempuan,78,B,47,E,45,E,83,B,65,C,52,D,68,C,,,55,D,84,B,,,72,B,,,,,,,,,,,,,,,,,,,,,649,10 SUBJ
2023,PPT,26,NUR STUDENT 1048,2301018189,T1 BETA,T1,Perempuan,72,B,54,D,79,B,76,B,61,C,64,C,83,B,,,66,C,78,B,,,72,B,,,,,,,,,,,,,,,,,,,,,705,10 SUBJ
2023,PPT,27,NUR STUDENT 1049,2301012547,T1 BETA,T1,Perempuan,78,B,67,C,76,B,63,C,81,B,57,D,39,F,,,66,C,60,C,,,52,D,,,,,,,,,,,,,,,,,,,,,639,10 SUBJ
2023,PPT,28,MUHAMMAD STUDENT 1050,2301013416,T1 BETA,T1,Lelaki,71,B,72,B,48,E,96,A,70,B,59,D,67,C,,,73,B,77,B,,,62,C,,,,,,,,,,,,,,,,,,,,,695,10 SUBJ
2023,PPT,29,NUR STUDENT 1051,2301018639,T1 BETA,T1,Perempuan,70,B,69,C,71,B,57,D,62,C,72,B,56,D,,,75,B,86,A,,,40,E,,,,,,,,,,,,,,,,,,,,,658,10 SUBJ
2023,PPT,30,NUR STUDENT 1052,2301013330,T1 BETA,T1,Perempuan,59,D,59,D,69,C,90,A,43,E,63,C,67,C,,,74,B,93,A,,,76,B,,,,,,,,,,,,,,,,,,,,,693,10 SUBJ
2023,PPT,1,MUHAMMAD STUDENT 1053,2301013552,T1 DELTA,T1,Lelaki,41,E,36,F,68,C,56,D,78,B,72,B,49,E,46,E,,,,,,,69,C,,,,,,,,,,,,,,,,,,,,,515,9 SUBJ
2023,PPT,2,MUHAMMAD STUDENT 1054,2301012387,T1 DELTA,T1,Lelaki,69,C,45,E,51,D,59,D,66,C,64,C,66,C,76,B,,,,,,,83,B,,,,,,,,,,,,,,,,,,,,,579,9 SUBJ
2023,PPT,3,MUHAMMAD STUDENT 1055,2301015405,T1 DELTA,T1,Lelaki,63,C,55,D,88,A,42,E,82,B,83,B,49,E,73,B,,,,,,,67,C,,,,,,,,,,,,,,,,,,,,,602,9 SUBJ
2023,PPT,4,NUR STUDENT 1056,2301017557,T1 DELTA,T1,Perempuan,53,D,64,C,67,C,66,C,71,B,51,D,73,B,65,C,,,,,,,69,C,,,,,,,,,,,,,,,,,,,,,579,9 SUBJ
2023,PPT,5,NUR STUDENT 1057,2301011747,T1 DELTA,T1,Perempuan,68,C,71,B,53,D,59,D,63,C,65,C,73,B,55,D,,,,,,,81,B,,,,,,,,,,,,,,,,,,,,,588,9 SUBJ
2023,PPT,6,MUHAMMAD STUDENT 1058,2301014479,T1 DELTA,T1,Lelaki,56,D,66,C,46,E,58,D,67,C,87,A,65,C,49,E,,,,,,,57,D,,,,,,,,,,,,,,,,,,,,,551,9 SUBJ
2023,PPT,7,NUR STUDENT 1059,2301018591,T1 DELTA,T1,Perempuan,54,D,74,B,49,E,81,B,49,E,72,B,60,C,62,C,,,,,,,73,B,,,,,,,,,,,,,,,,,,,,,574,9 SUBJ
2023,PPT,8,NUR STUDENT 1060,2301017499,T1 DELTA,T1,Perempuan,65,C,53,D,50,D,54,D,70,B,75,B,96,A,70,B,,,,,,,42,E,,,,,,,,,,,,,,,,,,,,,575,9 SUBJ
2023,PPT,9,MUHAMMAD STUDENT 1061,2301018744,T1 DELTA,T1,Lelaki,37,F,53,D,83,B,75,B,52,D,63,C,47,E,49,E,,,,,,,51,D,,,,,,,,,,,,,,,,,,,,,510,9 SUBJ
2023,PPT,10,NUR STUDENT 1062,2301015666,T1 DELTA,T1,Perempuan,45,E,68,C,65,C,53,D,60,C,77,B,78,B,72,B,,,,,,,63,C,,,,,,,,,,,,,,,,,,,,,581,9 SUBJ
2023,PPT,11,NUR STUDENT 1063,2301019555,T1 DELTA,T1,Perempuan,61,C,74,B,89,A,73,B,69,C,60,C,62,C,60,C,,,,,,,46,E,,,,,,,,,,,,,,,,,,,,,594,9 SUBJ
2023,PPT,12,NUR STUDENT 1064,2301019163,T1 DELTA,T1,Perempuan,72,B,91,A,48,E,80,B,54,D,63,C,69,C,73,B,,,,,,,54,D,,,,,,,,,,,,,,,,,,,,,604,9 SUBJ
2023,PPT,13,NUR STUDENT 1065,2301017436,T1 DELTA,T1,Perempuan,51,D,83,B,59,D,79,B,61,C,81,B,82,B,59,D,,,,,,,62,C,,,,,,,,,,,,,,,,,,,,,617,9 SUBJ
2023,PPT,14,NUR STUDENT 1066,2301015410,T1 DELTA,T1,Perempuan,70,B,58,D,64,C,67,C,54,D,84,B,58,D,57,D,,,,,,,74,B,,,,,,,,,,,,,,,,,,,,,586,9 SUBJ
2023,PPT,15,NUR STUDENT 1067,2301018405,T1 DELTA,T1,Perempuan,78,B,65,C,64,C,62,C,64,C,58,D,71,B,37,F,,,,,,,59,D,,,,,,,,,,,,,,,,,,,,,558,9 SUBJ
2023,PPT,16,MUHAMMAD STUDENT 1068,2301019625,T1 DELTA,T1,Lelaki,54,D,45,E,66,C,55,D,56,D,36,F,48,E,53,D,,,,,,,54,D,,,,,,,,,,,,,,,,,,,,,467,9 SUBJ
2023,PPT,17,NUR STUDENT 1069,2301019693,T1 DELTA,T1,Perempuan,82,B,77,B,70,B,77,B,72,B,50,D,48,E,67,C,,,,,,,67,C,,,,,,,,,,,,,,,,,,,,,610,9 SUBJ
2023,PPT,18,NUR STUDENT 1070,2301011412,T1 DELTA,T1,Perempuan,78,B,79,B,73,B,69,C,63,C,73,B,71,B,46,E,,,,,,,51,D,,,,,,,,,,,,,,,,,,,,,603,9 SUBJ
2023,PPT,19,NUR STUDENT 1071,2301016515,T1 DELTA,T1,Perempuan,63,C,63,C,72,B,83,B,54,D,56,D,58,D,61,C,,,,,,,61,C,,,,,,,,,,,,,,,,,,,,,571,9 SUBJ
2023,PPT,20,NUR STUDENT 1072,2301016373,T1 DELTA,T1,Perempuan,59,D,58,D,56,D,72,B,73,B,92,A,82,B,68,C,,,,,,,64,C,,,,,,,,,,,,,,,,,,,,,624,9 SUBJ
2023,PPT,21,NUR STUDENT 1073,2301011750,T1 DELTA,T1,Perempuan,46,E,64,C,54,D,70,B,72,B,46,E,57,D,64,C,,,,,,,66,C,,,,,,,,,,,,,,,,,,,,,539,9 SUBJ
2023,PPT,22,NUR STUDENT 1074,2301012907,T1 DELTA,T1,Perempuan,70,B,57,D,51,D,83,B,62,C,81,B,77,B,60,C,,,,,,,65,C,,,,,,,,,,,,,,,,,,,,,606,9 SUBJ
2023,PPT,23,MUHAMMAD STUDENT 1075,2301011963,T1 DELTA,T1,Lelaki,75,B,60,C,79,B,43,E,65,C,71,B,58,D,48,E,,,,,,,47,E,,,,,,,,,,,,,,,,,,,,,546,9 SUBJ
2023,PPT,24,MUHAMMAD STUDENT 1076,2301016839,T1 DELTA,T1,Lelaki,71,B,70,B,72,B,70,B,59,D,64,C,83,B,75,B,,,,,,,72,B,,,,,,,,,,,,,,,,,,,,,636,9 SUBJ
2023,PPT,25,MUHAMMAD STUDENT 1077,2301013336,T1 DELTA,T1,Lelaki,66,C,74,B,69,C,48,E,40,E,70,B,56,D,66,C,,,,,,,58,D,,,,,,,,,,,,,,,,,,,,,547,9 SUBJ
2023,PPT,26,MUHAMMAD STUDENT 1078,2301011758,T1 DELTA,T1,Lelaki,51,D,64,C,59,D,38,F,75,B,74,B,53,D,75,B,,,,,,,64,C,,,,,,,,,,,,,,,,,,,,,553,9 SUBJ
2023,PPT,27,MUHAMMAD STUDENT 1079,2301014676,T1 DELTA,T1,Lelaki,69,C,68,C,67,C,57,D,54,D,76,B,51,D,33,F,,,,,,,67,C,,,,,,,,,,,,,,,,,,,,,542,9 SUBJ
2023,PPT,1,MUHAMMAD STUDENT 1080,2301015186,T1 GAMMA,T1,Lelaki,65,C,70,B,29,F,43,E,47,E,45,E,44,E,47,E,,,,,,,64,C,,,,,,,,,,,,,,,,,,,,,454,9 SUBJ
2023,PPT,2,MUHAMMAD STUDENT 1081,2301018149,T1 GAMMA,T1,Lelaki,39,F,58,D,56,D,61,C,75,B,63,C,51,D,42,E,,,,,,,43,E,,,,,,,,,,,,,,,,,,,,,488,9 SUBJ
2023,PPT,3,NUR STUDENT 1082,2301011416,T1 GAMMA,T1,Perempuan,78,B,26,F,38,F,53,D,54,D,40,E,65,C,32,F,,,,,,,51,D,,,,,,,,,,,,,,,,,,,,,437,9 SUBJ
2023,PPT,4,NUR STUDENT 1083,2301014125,T1 GAMMA,T1,Perempuan,58,D,76,B,54,D,59,D,45,E,75,B,49,E,76,B,,,,,,,71,B,,,,,,,,,,,,,,,,,,,,,563,9 SUBJ
2023,PPT,5,NUR STUDENT 1084,2301014968,T1 GAMMA,T1,Perempuan,71,B,54,D,53,D,33,F,58,D,67,C,50,D,58,D,,,,,,,51,D,,,,,,,,,,,,,,,,,,,,,495,9 SUBJ
2023,PPT,6,NUR STUDENT 1085,2301018250,T1 GAMMA,T1,Perempuan,48,E,58,D,83,B,66,C,53,D,61,C,44,E,79,B,,,,,,,70,B,,,,,,,,,,,,,,,,,,,,,562,9 SUBJ
2023,PPT,7,MUHAMMAD STUDENT 1086,2301017918,T1 GAMMA,T1,Lelaki,48,E,54,D,55,D,69,C,36,F,74,B,61,C,57,D,,,,,,,51,D,,,,,,,,,,,,,,,,,,,,,505,9 SUBJ
2023,PPT,8,MUHAMMAD STUDENT 1087,2301012622,T1 GAMMA,T1,Lelaki,75,B,46,E,67,C,78,B,74,B,76,B,47,E,35,F,,,,,,,49,E,,,,,,,,,,,,,,,,,,,,,547,9 SUBJ
2023,PPT,9,MUHAMMAD STUDENT 1088,2301015273,T1 GAMMA,T1,Lelaki,64,C,45,E,60,C,42,E,69,C,65,C,60,C,47,E,,,,,,,68,C,,,,,,,,,,,,,,,,,,,,,520,9 SUBJ
2023,PPT,10,NUR STUDENT 1089,2301012559,T1 GAMMA,T1,Perempuan,53,D,74,B,56,D,62,C,49,E,48,E,29,F,27,F,,,,,,,69,C,,,,,,,,,,,,,,,,,,,,,467,9 SUBJ
2023,PPT,11,NUR STUDENT 1090,2301016354,T1 GAMMA,T1,Perempuan,71,B,53,D,59,D,39,F,42,E,47,E,54,D,52,D,,,,,,,49,E,,,,,,,,,,,,,,,,,,,,,466,9 SUBJ
2023,PPT,12,NUR STUDENT 1091,2301014273,T1 GAMMA,T1,Perempuan,43,E,52,D,73,B,46,E,41,E,52,D,61,C,48,E,,,,,,,31,F,,,,,,,,,,,,,,,,,,,,,447,9 SUBJ
2023,PPT,13,MUHAMMAD STUDENT 1092,2301017903,T1 GAMMA,T1,Lelaki,50,D,47,E,53,D,48,E,52,D,43,E,52,D,83,B,,,,,,,44,E,,,,,,,,,,,,,,,,,,,,,472,9 SUBJ
2023,PPT,14,NUR STUDENT 1093,2301017209,T1 GAMMA,T1,Perempuan,50,D,65,C,76,B,65,C,53,D,80,B,46,E,36,F,,,,,,,50,D,,,,,,,,,,,,,,,,,,,,,521,9 SUBJ
2023,PPT,15,MUHAMMAD STUDENT 1094,2301018874,T1 GAMMA,T1,Lelaki,65,C,43,E,77,B,41,E,60,C,50,D,56,D,80,B,,,,,,,65,C,,,,,,,,,,,,,,,,,,,,,537,9 SUBJ
2023,PPT,16,NUR STUDENT 1095,2301019266,T1 GAMMA,T1,Perempuan,84,B,65,C,75,B,47,E,70,B,59,D,61,C,48,E,,,,,,,51,D,,,,,,,,,,,,,,,,,,,,,560,9 SUBJ
2023,PPT,17,MUHAMMAD STUDENT 1096,2301013945,T1 GAMMA,T1,Lelaki,61,C,68,C,61,C,56,D,53,D,62,C,40,E,55,D,,,,,,,70,B,,,,,,,,,,,,,,,,,,,,,526,9 SUBJ
2023,PPT,18,MUHAMMAD STUDENT 1097,2301016406,T1 GAMMA,T1,Lelaki,59,D,57,D,50,D,54,D,54,D,75,B,56,D,72,B,,,,,,,49,E,,,,,,,,,,,,,,,,,,,,,526,9 SUBJ
2023,PPT,19,NUR STUDENT 1098,2301015824,T1 GAMMA,T1,Perempuan,66,C,55,D,53,D,54,D,80,B,72,B,81,B,63,C,,,,,,,67,C,,,,,,,,,,,,,,,,,,,,,591,9 SUBJ
2023,PPT,20,NUR STUDENT 1099,2301015315,T1 GAMMA,T1,Perempuan,46,E,51,D,36,F,51,D,56,D,54,D,67,C,63,C,,,,,,,67,C,,,,,,,,,,,,,,,,,,,,,491,9 SUBJ
2023,PPT,21,NUR STUDENT 1100,2301012314,T1 GAMMA,T1,Perempuan,55,D,37,F,40,E,72,B,62,C,49,E,51,D,48,E,,,,,,,51,D,,,,,,,,,,,,,,,,,,,,,465,9 SUBJ
2023,PPT,22,MUHAMMAD STUDENT 1101,2301016329,T1 GAMMA,T1,Lelaki,49,E,50,D,36,F,68,C,59,D,65,C,61,C,41,E,,,,,,,50,D,,,,,,,,,,,,,,,,,,,,,479,9 SUBJ
2023,PPT,23,NUR STUDENT 1102,2301015505,T1 GAMMA,T1,Perempuan,76,B,87,A,60,C,50,D,49,E,76,B,45,E,79,B,,,,,,,68,C,,,,,,,,,,,,,,,,,,,,,590,9 SUBJ
2023,PPT,24,MUHAMMAD STUDENT 1103,2301019805,T1 GAMMA,T1,Lelaki,65,C,56,D,67,C,48,E,49,E,52,D,71,B,47,E,,,,,,,57,D,,,,,,,,,,,,,,,,,,,,,512,9 SUBJ
2023,PPT,25,NUR STUDENT 1104,2301012009,T1 GAMMA,T1,Perempuan,91,A,60,C,58,D,44,E,77,B,73,B,40,E,51,D,,,,,,,53,D,,,,,,,,,,,,,,,,,,,,,547,9 SUBJ
2023,PPT,26,MUHAMMAD STUDENT 1105,2301014911,T1 GAMMA,T1,Lelaki,70,B,69,C,68,C,60,C,57,D,58,D,45,E,65,C,,,,,,,40,E,,,,,,,,,,,,,,,,,,,,,532,9 SUBJ
2023,PPT,27,NUR STUDENT 1106,2301016206,T1 GAMMA,T1,Perempuan,67,C,57,D,54,D,39,F,49,E,71,B,62,C,68,C,,,,,,,45,E,,,,,,,,,,,,,,,,,,,,,512,9 SUBJ
2023,PPT,28,MUHAMMAD STUDENT 1107,2301019963,T1 GAMMA,T1,Lelaki,42,E,51,D,65,C,43,E,32,F,56,D,57,D,27,F,,,,,,,40,E,,,,,,,,,,,,,,,,,,,,,413,9 SUBJ
2023,PPT,1,NUR STUDENT 1108,2301019765,T1 LAMBDA,T1,Perempuan,58,D,53,D,56,D,56,D,54,D,61,C,60,C,64,C,,,,,,,68,C,,,,,,,,,,,,,,,,,,,,,530,9 SUBJ
2023,PPT,2,MUHAMMAD STUDENT 1109,2301019654,T1 LAMBDA,T1,Lelaki,22,F,48,E,42,E,49,E,59,D,54,D,54,D,84,B,,,,,,,62,C,,,,,,,,,,,,,,,,,,,,,474,9 SUBJ
2023,PPT,3,NUR STUDENT 1110,2301012167,T1 LAMBDA,T1,Perempuan,55,D,75,B,58,D,53,D,63,C,65,C,79,B,58,D,,,,,,,47,E,,,,,,,,,,,,,,,,,,,,,553,9 SUBJ
2023,PPT,4,MUHAMMAD STUDENT 1111,2301016064,T1 LAMBDA,T1,Lelaki,56,D,62,C,55,D,53,D,52,D,68,C,44,E,55,D,,,,,,,57,D,,,,,,,,,,,,,,,,,,,,,502,9 SUBJ
2023,PPT,5,NUR STUDENT 1112,2301012426,T1 LAMBDA,T1,Perempuan,75,B,64,C,52,D,28,F,70,B,53,D,64,C,47,E,,,,,,,48,E,,,,,,,,,,,,,,,,,,,,,501,9 SUBJ
2023,PPT,6,NUR STUDENT 1113,2301016709,T1 LAMBDA,T1,Perempuan,64,C,41,E,53,D,59,D,68,C,59,D,60,C,47,E,,,,,,,36,F,,,,,,,,,,,,,,,,,,,,,487,9 SUBJ
2023,PPT,7,MUHAMMAD STUDENT 1114,2301015630,T1 LAMBDA,T1,Lelaki,68,C,70,B,60,C,69,C,48,E,61,C,47,E,47,E,,,,,,,57,D,,,,,,,,,,,,,,,,,,,,,527,9 SUBJ
